# Generated by tools/nelisp-emacs-compat.el -- do not edit.
# Regenerate: make emacs-compat-table
# emacs 30.1, 8872 names
#
# nelisp-only       stock Emacs does not have this name
# shared-deferring  both have it; this tree defers via (unless (fboundp ...))
# shared-shadowing  both have it; this tree defines it unconditionally

nelisp-only      error-conditions-of
nelisp-only      eval-elisp-artifact
nelisp-only      eval-elisp-source
nelisp-only      exec-elisp-artifact
nelisp-only      extern
nelisp-only      hash-table-keys
nelisp-only      hash-table-values
nelisp-only      inc2
nelisp-only      inspect-elisp-artifact
nelisp-only      isqrt
nelisp-only      load-elisp-source
nelisp-only      load-garbage-collect-interval
nelisp-only      m5_big
nelisp-only      m5_bn_be
nelisp-only      m5_bn_digits
nelisp-only      m5_bn_init
nelisp-only      m5_bn_mant
nelisp-only      m5_bn_mul
nelisp-only      m5_bn_mul2pow
nelisp-only      m5_bn_mul5pow
nelisp-only      m5_bn_pe
nelisp-only      m5_carry
nelisp-only      m5_concat_walk
nelisp-only      m5_copy_digits
nelisp-only      m5_dec9
nelisp-only      m5_declead
nelisp-only      m5_digits_nonzero
nelisp-only      m5_emit_fixed
nelisp-only      m5_emit_range
nelisp-only      m5_emit_sci2
nelisp-only      m5_emit_sig
nelisp-only      m5_emit_value
nelisp-only      m5_exact_digits
nelisp-only      m5_fill_zeros
nelisp-only      m5_fmt_argptr
nelisp-only      m5_fmt_dispatch
nelisp-only      m5_fmt_float_body
nelisp-only      m5_fmt_hexfloat
nelisp-only      m5_fmt_loop
nelisp-only      m5_gendigits
nelisp-only      m5_hex_digit
nelisp-only      m5_hex_digit_up
nelisp-only      m5_hexf_body
nelisp-only      m5_hexf_dig
nelisp-only      m5_hexf_emit
nelisp-only      m5_hexf_emitp
nelisp-only      m5_hexf_exp
nelisp-only      m5_hexf_last
nelisp-only      m5_hexf_nib
nelisp-only      m5_hexf_word
nelisp-only      m5_hexf_zeros
nelisp-only      m5_idigits
nelisp-only      m5_inc_digits
nelisp-only      m5_ipow5
nelisp-only      m5_json
nelisp-only      m5_json_alist_p
nelisp-only      m5_json_array
nelisp-only      m5_json_dotted
nelisp-only      m5_json_is_keyword
nelisp-only      m5_json_null
nelisp-only      m5_json_object_alist
nelisp-only      m5_json_object_plist
nelisp-only      m5_json_plist_even
nelisp-only      m5_json_plist_p
nelisp-only      m5_json_proper_p
nelisp-only      m5_json_str_quoted
nelisp-only      m5_json_sym_is_null
nelisp-only      m5_json_symbol
nelisp-only      m5_json_true
nelisp-only      m5_json_vector
nelisp-only      m5_lastnz
nelisp-only      m5_length
nelisp-only      m5_list_len
nelisp-only      m5_prin1
nelisp-only      m5_prin1_list_tail
nelisp-only      m5_prin1_string
nelisp-only      m5_prin1_string_byte
nelisp-only      m5_prin1_string_bytes
nelisp-only      m5_prin1_vector_loop
nelisp-only      m5_push_char
nelisp-only      m5_push_dec
nelisp-only      m5_push_exp
nelisp-only      m5_push_float
nelisp-only      m5_push_hex
nelisp-only      m5_push_hex_up
nelisp-only      m5_push_lit_nil
nelisp-only      m5_push_lit_object
nelisp-only      m5_push_lit_t
nelisp-only      m5_push_oct
nelisp-only      m5_push_repeat
nelisp-only      m5_push_str
nelisp-only      m5_push_str_bytes
nelisp-only      m5_push_udec
nelisp-only      m5_push_uhex
nelisp-only      m5_push_uhex_up
nelisp-only      m5_push_uoct
nelisp-only      m5_pushdigits
nelisp-only      m5_round_digits
nelisp-only      m5_s2n
nelisp-only      m5_s2n_mag
nelisp-only      m5_sha256
nelisp-only      m5_sha_add
nelisp-only      m5_sha_block
nelisp-only      m5_sha_bs0
nelisp-only      m5_sha_bs1
nelisp-only      m5_sha_ch
nelisp-only      m5_sha_copy
nelisp-only      m5_sha_fill_w_hi
nelisp-only      m5_sha_fill_w_lo
nelisp-only      m5_sha_hexnib
nelisp-only      m5_sha_hexword
nelisp-only      m5_sha_init_k
nelisp-only      m5_sha_maj
nelisp-only      m5_sha_s0
nelisp-only      m5_sha_s1
nelisp-only      m5_sha_word
nelisp-only      m5_sha_zero
nelisp-only      m5_streq
nelisp-only      m5_streq_bytes
nelisp-only      m5_string_search
nelisp-only      m5_strmatch_at
nelisp-only      m5_u
nelisp-only      m5_wdig
nelisp-only      m5_xf_e
nelisp-only      m5_xf_emit_e
nelisp-only      m5_xf_emit_f
nelisp-only      m5_xf_f
nelisp-only      m5_xf_g
nelisp-only      m5_xf_lastnz
nelisp-only      m5_xf_place_buf
nelisp-only      m5_xf_zero_f
nelisp-only      make-text-buffer
nelisp-only      myabs
nelisp-only      name
nelisp-only      native-exec-elisp-artifact
nelisp-only      nelisp--add2
nelisp-only      nelisp--add2-float
nelisp-only      nelisp--append-collect
nelisp-only      nelisp--apply
nelisp-only      nelisp--apply-closure
nelisp-only      nelisp--apply-fn
nelisp-only      nelisp--apply-lambda
nelisp-only      nelisp--ascii-downcase-char
nelisp-only      nelisp--ascii-letter-p
nelisp-only      nelisp--ascii-upcase-char
nelisp-only      nelisp--base64-flush-chunk
nelisp-only      nelisp--base64-value
nelisp-only      nelisp--bind-formals--compute
nelisp-only      nelisp--bind-formals--required-count
nelisp-only      nelisp--bind-params
nelisp-only      nelisp--bool-vector-len
nelisp-only      nelisp--bq-build
nelisp-only      nelisp--bq-expand
nelisp-only      nelisp--bq-expand-list
nelisp-only      nelisp--bq-tag-p
nelisp-only      nelisp--builtin-apply
nelisp-only      nelisp--builtin-boundp
nelisp-only      nelisp--builtin-defalias
nelisp-only      nelisp--builtin-fboundp
nelisp-only      nelisp--builtin-funcall
nelisp-only      nelisp--builtin-load
nelisp-only      nelisp--builtin-load-file
nelisp-only      nelisp--builtin-mapc
nelisp-only      nelisp--builtin-mapcar
nelisp-only      nelisp--builtin-mapconcat
nelisp-only      nelisp--builtin-maphash
nelisp-only      nelisp--builtin-provide
nelisp-only      nelisp--builtin-require
nelisp-only      nelisp--builtin-symbol-value
nelisp-only      nelisp--builtinp
nelisp-only      nelisp--char-table-aref
nelisp-only      nelisp--char-table-aset
nelisp-only      nelisp--cl-optional-default-forms
nelisp-only      nelisp--cl-optional-vars
nelisp-only      nelisp--cli-batch-dispatch
nelisp-only      nelisp--cli-batch-ensure-host
nelisp-only      nelisp--cli-batch-eval-expr
nelisp-only      nelisp--cli-batch-funcall
nelisp-only      nelisp--cli-batch-load-file
nelisp-only      nelisp--cli-eval-string-all-print
nelisp-only      nelisp--cli-eval-string-print
nelisp-only      nelisp--cli-exec-string-silent
nelisp-only      nelisp--cli-meta-driver-load-deps
nelisp-only      nelisp--cli-meta-driver-locate-script
nelisp-only      nelisp--cli-meta-driver-main
nelisp-only      nelisp--cli-print-error
nelisp-only      nelisp--cli-read-file
nelisp-only      nelisp--cli-record-startup-metadata
nelisp-only      nelisp--cli-run-artifact-command
nelisp-only      nelisp--cli-slurp-stdin
nelisp-only      nelisp--cli-usage
